사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2023-09,1호선,0150,서울역,"1,302,969","1,278,959","196,432","187,106",2023-10-03 09:03:46
2023-09,1호선,0151,시청,"627,933","636,796","98,111","98,402",2023-10-03 09:03:46
2023-09,1호선,0152,종각,"899,554","882,768","138,210","127,736",2023-10-03 09:03:46
2023-09,1호선,0153,종로3가,"467,997","418,953","285,136","262,510",2023-10-03 09:03:46
2023-09,1호선,0154,종로5가,"474,020","472,301","243,837","235,844",2023-10-03 09:03:46
2023-09,1호선,0155,동대문,"244,748","240,045","117,292","116,736",2023-10-03 09:03:46
2023-09,1호선,0156,신설동,"278,667","266,224","115,977","112,061",2023-10-03 09:03:46
2023-09,1호선,0157,제기동,"225,337","213,872","293,172","317,701",2023-10-03 09:03:46
2023-09,1호선,0158,청량리(서울시립대입구),"357,847","348,368","276,674","280,143",2023-10-03 09:03:46
2023-09,1호선,0159,동묘앞,"143,466","149,942","152,241","153,930",2023-10-03 09:03:46
2023-09,2호선,0201,시청,"627,077","587,581","58,310","53,764",2023-10-03 09:03:46
2023-09,2호선,0202,을지로입구,"1,206,816","1,229,355","98,980","91,150",2023-10-03 09:03:46
2023-09,2호선,0203,을지로3가,"588,752","580,810","70,324","68,301",2023-10-03 09:03:46
2023-09,2호선,0204,을지로4가,"308,919","313,793","78,663","77,614",2023-10-03 09:03:46
2023-09,2호선,0205,동대문역사문화공원(DDP),"378,329","437,379","54,361","58,523",2023-10-03 09:03:46
2023-09,2호선,0206,신당,"324,661","344,243","89,679","91,095",2023-10-03 09:03:46
2023-09,2호선,0207,상왕십리,"334,914","320,608","65,125","65,818",2023-10-03 09:03:46
2023-09,2호선,0208,왕십리(성동구청),"401,128","348,301","50,126","44,818",2023-10-03 09:03:46
2023-09,2호선,0209,한양대,"337,372","372,579","13,273","14,113",2023-10-03 09:03:46
2023-09,2호선,0210,뚝섬,"583,249","618,843","58,641","58,598",2023-10-03 09:03:46
2023-09,2호선,0211,성수,"959,385","1,077,662","96,442","97,525",2023-10-03 09:03:46
2023-09,2호선,0212,건대입구,"959,147","1,012,839","89,641","92,478",2023-10-03 09:03:46
2023-09,2호선,0213,구의(광진구청),"570,344","548,138","100,980","101,537",2023-10-03 09:03:46
2023-09,2호선,0214,강변(동서울터미널),"789,388","770,652","117,178","114,318",2023-10-03 09:03:46
2023-09,2호선,0215,잠실나루,"323,128","311,067","85,598","85,594",2023-10-03 09:03:46
2023-09,2호선,0216,잠실(송파구청),"1,945,617","1,939,759","202,634","193,835",2023-10-03 09:03:46
2023-09,2호선,0217,잠실새내,"542,033","544,402","108,017","107,155",2023-10-03 09:03:46
2023-09,2호선,0218,종합운동장,"362,152","408,972","49,563","52,059",2023-10-03 09:03:46
2023-09,2호선,0219,삼성(무역센터),"1,340,688","1,358,615","110,501","102,455",2023-10-03 09:03:46
2023-09,2호선,0220,선릉,"1,239,103","1,087,427","216,048","190,679",2023-10-03 09:03:46
2023-09,2호선,0221,역삼,"1,139,546","1,287,034","136,328","137,223",2023-10-03 09:03:46
2023-09,2호선,0222,강남,"1,978,673","1,926,696","151,081","131,502",2023-10-03 09:03:46
2023-09,2호선,0223,교대(법원.검찰청),"676,986","813,356","140,930","167,311",2023-10-03 09:03:46
2023-09,2호선,0224,서초,"520,089","493,846","86,368","85,675",2023-10-03 09:03:46
2023-09,2호선,0225,방배,"412,882","428,260","74,708","74,168",2023-10-03 09:03:46
2023-09,2호선,0226,사당,"923,637","1,036,197","199,070","191,232",2023-10-03 09:03:46
2023-09,2호선,0227,낙성대(강감찬),"678,293","644,491","104,858","105,876",2023-10-03 09:03:46
2023-09,2호선,0228,서울대입구(관악구청),"1,139,284","1,101,785","172,281","162,854",2023-10-03 09:03:46
2023-09,2호선,0229,봉천,"520,249","471,358","143,127","141,251",2023-10-03 09:03:46
2023-09,2호선,0230,신림,"1,331,450","1,249,200","191,110","188,791",2023-10-03 09:03:46
2023-09,2호선,0231,신대방,"597,712","568,009","126,817","127,010",2023-10-03 09:03:46
2023-09,2호선,0232,구로디지털단지,"1,368,072","1,344,784","179,092","179,014",2023-10-03 09:03:46
2023-09,2호선,0233,대림(구로구청),"556,413","570,719","125,012","129,221",2023-10-03 09:03:46
2023-09,2호선,0234,신도림,"1,182,369","1,177,276","215,161","202,472",2023-10-03 09:03:46
2023-09,2호선,0235,문래,"507,338","527,394","83,239","82,708",2023-10-03 09:03:46
2023-09,2호선,0236,영등포구청,"476,754","493,981","96,781","95,747",2023-10-03 09:03:46
2023-09,2호선,0237,당산,"444,749","517,593","56,622","62,727",2023-10-03 09:03:46
2023-09,2호선,0238,합정,"851,943","937,048","68,796","69,314",2023-10-03 09:03:46
2023-09,2호선,0239,홍대입구,"1,872,300","2,049,358","95,191","92,374",2023-10-03 09:03:46
2023-09,2호선,0240,신촌,"1,029,811","1,050,677","117,266","115,373",2023-10-03 09:03:46
2023-09,2호선,0241,이대,"439,728","477,501","48,195","50,579",2023-10-03 09:03:46
2023-09,2호선,0242,아현,"249,393","227,953","63,847","62,145",2023-10-03 09:03:46
2023-09,2호선,0243,충정로(경기대입구),"227,684","241,924","47,418","47,617",2023-10-03 09:03:46
2023-09,2호선,0244,용답,"68,990","68,880","17,517","17,016",2023-10-03 09:03:46
2023-09,2호선,0245,신답,"35,639","39,485","9,611","10,199",2023-10-03 09:03:46
2023-09,2호선,0246,신설동,"75,345","69,860","30,532","31,938",2023-10-03 09:03:46
2023-09,2호선,0247,도림천,"25,923","26,421","8,127","9,100",2023-10-03 09:03:46
2023-09,2호선,0248,양천구청,"141,794","150,185","50,146","51,027",2023-10-03 09:03:46
2023-09,2호선,0249,신정네거리,"214,505","219,651","72,909","74,095",2023-10-03 09:03:46
2023-09,2호선,0250,용두(동대문구청),"46,193","44,407","25,002","26,150",2023-10-03 09:03:46
2023-09,3호선,0309,지축,"158,962","156,378","33,439","31,810",2023-10-03 09:03:46
2023-09,3호선,0310,구파발,"485,114","475,277","125,303","120,327",2023-10-03 09:03:46
2023-09,3호선,0311,연신내,"731,334","687,745","254,685","246,272",2023-10-03 09:03:46
2023-09,3호선,0312,불광,"332,892","355,116","138,127","153,287",2023-10-03 09:03:46
2023-09,3호선,0313,녹번,"362,915","319,285","77,712","76,406",2023-10-03 09:03:46
2023-09,3호선,0314,홍제,"380,246","357,148","140,031","137,606",2023-10-03 09:03:46
2023-09,3호선,0315,무악재,"91,420","89,476","31,296","33,648",2023-10-03 09:03:46
2023-09,3호선,0316,독립문,"148,076","153,488","68,369","68,554",2023-10-03 09:03:46
2023-09,3호선,0317,경복궁(정부서울청사),"675,612","684,435","95,310","94,636",2023-10-03 09:03:46
2023-09,3호선,0318,안국,"663,707","682,819","100,305","102,774",2023-10-03 09:03:46
