사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202309,1호선,동대문,606,32,10733,1973,9065,6382,14371,11453,19562,19663,18583,21692,17503,23476,19317,27453,23488,27196,26362,25473,27023,23999,27367,23084,28229,22892,26883,23099,25383,23480,18716,21595,16092,15948,15090,14053,11578,12152,5496,8967,592,2495,1,224,0,0,0,0,20231003
202309,1호선,동묘앞,153,1,2841,1084,3817,4586,7469,9212,11597,20358,10394,17446,12511,23015,18009,29354,23555,30806,29454,33405,31098,29501,32695,25519,33321,20036,30887,15023,22363,11557,10135,8084,5665,6237,4800,5751,3568,6887,1281,4019,94,1706,0,285,0,0,0,0,20231003
202309,1호선,서울역,596,34,8298,9361,12634,51377,39681,107917,68829,214210,62739,148732,59831,76946,75255,72326,86371,80594,85751,80912,70567,71871,96370,79632,111655,82752,164483,93187,206861,93918,109884,67674,80874,46570,77867,42014,53997,29659,24713,13731,2144,2462,1,186,0,0,0,0,20231003
202309,1호선,시청,55,3,2238,4729,3924,22886,7976,68736,10731,181163,14029,87503,16405,44539,22442,42836,24398,38770,29376,40189,38347,35511,48370,33981,61433,30827,93013,31339,148259,28073,61559,14178,54817,9555,48621,8465,30044,6725,9726,4323,280,842,1,25,0,0,0,0,20231003
202309,1호선,신설동,366,12,8783,2336,9456,8139,21484,22110,30470,53048,20443,31271,18346,21367,20262,18472,21839,17949,23538,18379,22225,17738,23816,19191,29275,21508,38534,23519,48644,28691,20130,21264,13393,15097,11873,14339,7984,12456,3464,9270,319,2118,0,11,0,0,0,0,20231003
202309,1호선,제기동,378,5,5282,2342,9036,9415,22089,20764,31835,38193,25436,37339,28909,43626,37524,48302,42585,48892,41867,50054,44356,45879,48581,39193,49932,34189,43296,29456,37591,26994,20633,17589,12818,11693,8680,10874,5533,9334,2036,6151,112,1288,0,1,0,0,0,0,20231003
202309,1호선,종각,91,6,3969,5049,4277,25862,6841,102423,10669,247062,13535,141569,18321,60239,27924,56015,33604,48847,41334,49029,52452,42799,65894,37990,78254,40356,146151,45663,201288,48586,89453,25507,77195,12316,81362,9072,59125,6662,25155,4626,869,825,1,1,0,0,0,0,20231003
202309,1호선,종로3가,161,4,4066,3040,3974,12190,5911,25178,9917,64010,14406,62414,21797,55037,31463,61944,42052,62075,47797,58383,54667,51317,62523,43636,69803,41518,80590,41144,92587,40525,58386,21881,47943,12202,48638,9799,38026,7899,17100,5265,1326,1969,0,33,0,0,0,0,20231003
202309,1호선,종로5가,53,2,2121,3608,3413,15499,6375,39702,9956,92360,15291,62373,24421,59310,37617,63156,47312,58989,54514,53950,61125,50584,64056,44446,67493,42007,84756,38836,94376,34737,49946,20101,36531,10660,32444,7609,19752,5776,5998,3564,307,871,0,5,0,0,0,0,20231003
202309,1호선,청량리(서울시립대입구),1167,48,10853,3234,16815,14230,43439,18677,51579,36939,35010,39151,33761,41817,38722,44422,43584,44133,43877,46749,45648,48162,50153,46209,54381,44747,50966,44154,44105,50920,24352,33629,18806,21082,14406,19401,9071,16417,3608,10882,218,3507,0,1,0,0,0,0,20231003
